names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,reprint,artist,price
Anti-Magic Aura,Enchantment,Aura,Fifth Edition,Uncommon,3,Blue,False,False,True,True,b'Zak Plucinski',0.2
Azure Drake,Creature,Drake,Fifth Edition,Uncommon,4,Blue,True,False,True,True,b'Janine Johnston',0.1
Binding Grasp,Enchantment,Aura,Fifth Edition,Uncommon,4,Blue,False,False,True,True,b'Jeff Miracola',0.1
Boomerang,Instant,None,Fifth Edition,Common,2,Blue,True,False,True,True,b'Alan Rabinowitz',0.16
Brainstorm,Instant,None,Fifth Edition,Common,1,Blue,False,False,True,True,b'Christopher Rush',0.84
Counterspell,Instant,None,Fifth Edition,Common,2,Blue,False,False,True,True,b'Hannibal King',1.28
Dance of Many,Enchantment,None,Fifth Edition,Rare,2,Blue,False,False,True,True,b'Sandra Everingham',0.59
Dandân,Creature,Fish,Fifth Edition,Common,2,Blue,True,False,True,True,b'Drew Tucker',0.12
Dark Maze,Creature,Wall,Fifth Edition,Common,5,Blue,False,False,True,True,b'David Seeley',0.24
Deflection,Instant,None,Fifth Edition,Rare,4,Blue,True,False,True,True,b'Mike Raabe',0.27
Drain Power,Sorcery,None,Fifth Edition,Rare,2,Blue,False,False,True,True,b'Jerry Tiritilli',1.15
Energy Flux,Enchantment,None,Fifth Edition,Uncommon,3,Blue,False,False,True,True,b'Kaja Foglio',0.16
Enervate,Instant,None,Fifth Edition,Common,2,Blue,False,False,True,True,b'Allen Williams',0.13
Feedback,Enchantment,Aura,Fifth Edition,Uncommon,3,Blue,False,False,True,True,b'Quinton Hoover',0.12
Flight,Enchantment,Aura,Fifth Edition,Common,1,Blue,True,False,True,True,b'Jerry Tiritilli',0.09
Flood,Enchantment,None,Fifth Edition,Common,1,Blue,False,False,True,True,b'Dennis Detwiller',0.11
Force Spike,Instant,None,Fifth Edition,Common,1,Blue,False,False,True,True,b'John Matson',0.22
Forget,Sorcery,None,Fifth Edition,Rare,2,Blue,False,False,True,True,b'Mike Kimble',0.22
Gaseous Form,Enchantment,Aura,Fifth Edition,Common,3,Blue,False,False,True,True,b'Doug Keith',0.06
Glacial Wall,Creature,Wall,Fifth Edition,Uncommon,3,Blue,False,False,True,True,b'Greg Simanson',0.27
Homarid Warrior,Creature,Homarid Warrior,Fifth Edition,Common,5,Blue,False,False,True,True,b'Pete Venters',0.21
Hurkyl's Recall,Instant,None,Fifth Edition,Rare,2,Blue,True,False,True,True,b'N\xc3\xa9N\xc3\xa9 Thomas',2.0
Hydroblast,Instant,None,Fifth Edition,Uncommon,1,Blue,False,False,True,True,b'Kaja Foglio',0.65
Juxtapose,Sorcery,None,Fifth Edition,Rare,4,Blue,False,False,True,True,b'Justin Hampton',0.24
Krovikan Sorcerer,Creature,Human Wizard,Fifth Edition,Common,3,Blue,False,False,True,True,b'Pat Morrissey',0.2
Labyrinth Minotaur,Creature,Minotaur,Fifth Edition,Common,4,Blue,False,False,True,True,b'Anson Maddocks',0.22
Leviathan,Creature,Leviathan,Fifth Edition,Rare,9,Blue,True,False,True,True,b'Mark Tedin',0.32
Lifetap,Enchantment,None,Fifth Edition,Uncommon,2,Blue,False,False,True,True,b'Mike Dringenberg',0.15
Lord of Atlantis,Creature,Merfolk,Fifth Edition,Rare,2,Blue,True,False,True,True,b'Melissa A. Benson',4.46
Magical Hack,Instant,None,Fifth Edition,Rare,1,Blue,False,False,True,True,b'Julie Baroh',0.31
Magus of the Unseen,Creature,Human Wizard,Fifth Edition,Rare,2,Blue,False,False,True,True,b'Kaja Foglio',0.39
Memory Lapse,Instant,None,Fifth Edition,Common,2,Blue,False,False,True,True,b'Mark Tedin',0.14
Merfolk of the Pearl Trident,Creature,Merfolk,Fifth Edition,Common,1,Blue,True,False,True,True,b'John Matson',0.14
Mind Bomb,Sorcery,None,Fifth Edition,Uncommon,1,Blue,False,False,True,True,b'Mark Tedin',0.17
Phantasmal Forces,Creature,Illusion,Fifth Edition,Uncommon,4,Blue,False,False,True,True,b'Mark Poole',0.12
Phantasmal Terrain,Enchantment,Aura,Fifth Edition,Common,2,Blue,False,False,True,True,b'David A. Cherry',0.18
Phantom Monster,Creature,Illusion,Fifth Edition,Uncommon,4,Blue,False,False,True,True,b'Rebecca Guay',0.16
Pirate Ship,Creature,Human Pirate,Fifth Edition,Rare,5,Blue,True,False,True,True,b'Tom W\xc3\xa4nerstrand',0.24
Portent,Sorcery,None,Fifth Edition,Common,1,Blue,False,False,True,True,b'Liz Danforth',0.26
Power Sink,Instant,None,Fifth Edition,Uncommon,2,Blue,False,False,True,True,b'Richard Thomas',0.14
Prodigal Sorcerer,Creature,Human Wizard,Fifth Edition,Common,3,Blue,True,False,True,True,b'Douglas Shuler',0.1
Psychic Venom,Enchantment,Aura,Fifth Edition,Common,2,Blue,False,False,True,True,b'Brian Sn\xc3\xb5ddy',0.19
Ray of Command,Instant,None,Fifth Edition,Common,4,Blue,False,False,True,True,b'Harold McNeill',0.2
Recall,Sorcery,None,Fifth Edition,Rare,3,Blue,False,False,True,True,b'Richard Kane Ferguson',0.36
Reef Pirates,Creature,Zombie Pirate,Fifth Edition,Common,3,Blue,False,False,True,True,b'Tom W\xc3\xa4nerstrand',0.13
Remove Soul,Instant,None,Fifth Edition,Common,2,Blue,True,False,True,True,b'Mike Dringenberg',0.1
Sea Serpent,Creature,Serpent,Fifth Edition,Common,6,Blue,False,False,True,True,b'Ian Miller',0.09
Sea Spirit,Creature,Elemental Spirit,Fifth Edition,Uncommon,5,Blue,False,False,True,True,b'DiTerlizzi',0.1
Sea Sprite,Creature,Faerie,Fifth Edition,Uncommon,2,Blue,False,False,True,True,b'Rebecca Guay',0.27
Seasinger,Creature,Merfolk,Fifth Edition,Uncommon,3,Blue,False,False,True,True,b'John Matson',0.27
Segovian Leviathan,Creature,Leviathan,Fifth Edition,Uncommon,5,Blue,False,False,True,True,b'Melissa A. Benson',0.09
Sibilant Spirit,Creature,Spirit,Fifth Edition,Rare,6,Blue,False,False,True,True,b'Ron Spencer',0.22
Sleight of Mind,Instant,None,Fifth Edition,Rare,1,Blue,False,False,True,True,b'Mark Poole',0.26
Soul Barrier,Enchantment,None,Fifth Edition,Common,3,Blue,False,False,True,True,b'Harold McNeill',0.15
Spell Blast,Instant,None,Fifth Edition,Common,2,Blue,True,False,True,True,b'Greg Simanson',0.1
Stasis,Enchantment,None,Fifth Edition,Rare,2,Blue,False,False,True,True,b'Fay Jones',4.77
Steal Artifact,Enchantment,Aura,Fifth Edition,Uncommon,4,Blue,True,False,True,True,b'John Coulthart',0.15
Time Elemental,Creature,Elemental,Fifth Edition,Rare,3,Blue,False,False,True,True,b'Amy Weber',0.33
Twiddle,Instant,None,Fifth Edition,Common,1,Blue,True,False,True,True,b'Rob Alexander',0.13
Unstable Mutation,Enchantment,Aura,Fifth Edition,Common,1,Blue,True,False,True,True,b'Charles Gillespie',0.14
Unsummon,Instant,None,Fifth Edition,Common,1,Blue,True,True,True,True,b'Douglas Shuler',0.48
Updraft,Instant,None,Fifth Edition,Common,2,Blue,False,False,True,True,b'John Matson',0.13
Vodalian Soldiers,Creature,Merfolk Soldier,Fifth Edition,Common,2,Blue,False,False,True,True,b'Melissa A. Benson',0.1
Wall of Air,Creature,Wall,Fifth Edition,Uncommon,3,Blue,True,False,True,True,b'Richard Kane Ferguson',0.2
Wind Spirit,Creature,Elemental Spirit,Fifth Edition,Uncommon,5,Blue,False,False,True,True,b'Kaja Foglio',0.16
Zephyr Falcon,Creature,Bird,Fifth Edition,Common,2,Blue,False,False,True,True,b'Heather Hudson',0.09
Zur's Weirding,Enchantment,None,Fifth Edition,Rare,4,Blue,True,False,True,True,b'Liz Danforth',0.43
Abyssal Specter,Creature,Specter,Fifth Edition,Uncommon,4,Black,True,False,True,True,b'George Pratt',0.19
Animate Dead,Enchantment,Aura,Fifth Edition,Uncommon,2,Black,False,False,True,True,b'Anson Maddocks',2.76
Ashes to Ashes,Sorcery,None,Fifth Edition,Uncommon,3,Black,False,False,True,True,b'Doug Keith',0.67
Bad Moon,Enchantment,None,Fifth Edition,Rare,2,Black,True,False,True,True,b'Gary Leach',2.1
Black Knight,Creature,Human Knight,Fifth Edition,Uncommon,2,Black,True,False,True,True,b'Adrian Smith',0.2
Blight,Enchantment,Aura,Fifth Edition,Uncommon,2,Black,False,False,True,True,b'Ian Miller',0.31
Bog Imp,Creature,Imp,Fifth Edition,Common,2,Black,True,False,True,True,b'Ron Spencer',0.1
Bog Rats,Creature,Rat,Fifth Edition,Common,1,Black,False,False,True,True,b'Ron Spencer',0.09
Bog Wraith,Creature,Wraith,Fifth Edition,Uncommon,4,Black,True,False,True,True,b'Jeff A. Menges',0.07
Breeding Pit,Enchantment,None,Fifth Edition,Uncommon,4,Black,False,False,True,True,b'Adrian Smith',0.15
Broken Visage,Instant,None,Fifth Edition,Rare,5,Black,False,False,True,True,b'Margaret Organ-Kean',0.2
Carrion Ants,Creature,Insect,Fifth Edition,Uncommon,4,Black,False,False,True,True,b'John Coulthart',0.14
Cloak of Confusion,Enchantment,Aura,Fifth Edition,Common,2,Black,False,False,True,True,b'Margaret Organ-Kean',0.1
Cursed Land,Enchantment,Aura,Fifth Edition,Uncommon,4,Black,False,False,True,True,b'Jesper Myrfors',0.2
Dark Ritual,Instant,None,Fifth Edition,Common,1,Black,False,False,True,True,b'Clint Langley',0.52
Deathgrip,Enchantment,None,Fifth Edition,Uncommon,2,Black,False,False,True,True,b'Anson Maddocks',0.25
Derelor,Creature,Thrull,Fifth Edition,Rare,4,Black,False,False,True,True,b'Anson Maddocks',0.29
Drain Life,Sorcery,None,Fifth Edition,Common,3,Black,False,False,True,True,b'Andrew Robinson',0.25
Drudge Skeletons,Creature,Skeleton,Fifth Edition,Common,2,Black,True,False,True,True,b'Ian Miller',0.16
Erg Raiders,Creature,Human Warrior,Fifth Edition,Common,2,Black,False,False,True,True,b'Stuart Griffin',0.09
Evil Eye of Orms-by-Gore,Creature,Eye,Fifth Edition,Uncommon,5,Black,True,False,True,True,b'George Pratt',0.17
Evil Presence,Enchantment,Aura,Fifth Edition,Uncommon,1,Black,True,False,True,True,b'Bob Eggleton',0.21
Fallen Angel,Creature,Angel,Fifth Edition,Uncommon,5,Black,True,False,True,True,b'Anson Maddocks',0.17
Fear,Enchantment,Aura,Fifth Edition,Common,2,Black,True,False,True,True,b'Doug Keith',0.14
Frozen Shade,Creature,Shade,Fifth Edition,Common,3,Black,False,False,True,True,b'DiTerlizzi',0.11
Funeral March,Enchantment,Aura,Fifth Edition,Common,3,Black,False,False,True,True,b'John Coulthart',0.16
Gloom,Enchantment,None,Fifth Edition,Uncommon,3,Black,False,False,True,True,b'Douglas Shuler',0.11
Greater Werewolf,Creature,Werewolf,Fifth Edition,Uncommon,5,Black,False,False,True,True,b'Dennis Detwiller',0.17
Hecatomb,Enchantment,None,Fifth Edition,Rare,3,Black,False,False,True,True,b'George Pratt',0.36
Howl from Beyond,Instant,None,Fifth Edition,Common,2,Black,False,False,True,True,b'John Coulthart',0.14
Initiates of the Ebon Hand,Creature,Cleric,Fifth Edition,Common,1,Black,False,False,True,True,b'Heather Hudson',0.18
Kjeldoran Dead,Creature,Skeleton,Fifth Edition,Common,1,Black,False,False,True,True,b'Melissa A. Benson',0.12
Knight of Stromgald,Creature,Human Knight,Fifth Edition,Uncommon,2,Black,False,False,True,True,b'Mark Poole',0.3
Krovikan Fetish,Enchantment,Aura,Fifth Edition,Common,3,Black,False,False,True,True,b'Heather Hudson',0.1
Leshrac's Rite,Enchantment,Aura,Fifth Edition,Uncommon,1,Black,False,False,True,True,b'Mike Raabe',0.21
Lord of the Pit,Creature,Demon,Fifth Edition,Rare,7,Black,True,False,True,True,b'Mark Tedin',0.47
Lost Soul,Creature,Spirit Minion,Fifth Edition,Common,3,Black,False,False,True,True,b'Randy Asplund-Faith',0.09
Mind Ravel,Sorcery,None,Fifth Edition,Common,3,Black,False,False,True,True,b'Mark Tedin',0.1
Mind Warp,Sorcery,None,Fifth Edition,Uncommon,3,Black,False,False,True,True,b'Liz Danforth',0.07
Mindstab Thrull,Creature,Thrull,Fifth Edition,Common,3,Black,False,False,True,True,b'Mark Tedin',0.17
Mole Worms,Creature,Worm,Fifth Edition,Uncommon,3,Black,False,False,True,True,b'Adrian Smith',0.22
Murk Dwellers,Creature,Zombie,Fifth Edition,Common,4,Black,False,False,True,True,b'Drew Tucker',0.16
Necrite,Creature,Thrull,Fifth Edition,Common,3,Black,False,False,True,True,b'Ron Spencer',0.22
Necropotence,Enchantment,None,Fifth Edition,Rare,3,Black,False,False,True,True,b'Mark Tedin',16.77
Nether Shadow,Creature,Spirit,Fifth Edition,Rare,2,Black,False,False,True,True,b'DiTerlizzi',1.35
Nightmare,Creature,Nightmare Horse,Fifth Edition,Rare,6,Black,True,False,True,True,b'Melissa A. Benson',0.73
Paralyze,Enchantment,Aura,Fifth Edition,Common,1,Black,False,False,True,True,b'Ron Spencer',0.18
Pestilence,Enchantment,None,Fifth Edition,Common,4,Black,False,False,True,True,b'Kev Walker',0.3
Pit Scorpion,Creature,Scorpion,Fifth Edition,Common,3,Black,False,False,True,True,b'Ian Miller',0.18
Plague Rats,Creature,Rat,Fifth Edition,Common,3,Black,False,False,True,True,b'Anson Maddocks',0.1
Pox,Sorcery,None,Fifth Edition,Rare,3,Black,False,False,True,True,b'Scott M. Fischer',1.55
Rag Man,Creature,Human Minion,Fifth Edition,Rare,4,Black,False,False,True,True,b'Daniel Gelon',0.3
Raise Dead,Sorcery,None,Fifth Edition,Common,1,Black,True,False,True,True,b'David Seeley',0.19
Scathe Zombies,Creature,Zombie,Fifth Edition,Common,3,Black,True,False,True,True,b'Tom Kyffin',0.1
Sengir Autocrat,Creature,Human,Fifth Edition,Rare,4,Black,True,False,True,True,b'David A. Cherry',0.41
Sorceress Queen,Creature,Human Wizard,Fifth Edition,Rare,3,Black,False,False,True,True,b'Kaja Foglio',0.78
Stromgald Cabal,Creature,Human Knight,Fifth Edition,Rare,3,Black,False,False,True,True,b'Anson Maddocks',0.26
Terror,Instant,None,Fifth Edition,Common,2,Black,True,False,True,True,b'Ron Spencer',0.11
The Wretched,Creature,Demon,Fifth Edition,Rare,5,Black,False,False,True,True,b'Christopher Rush',0.57
Thrull Retainer,Enchantment,Aura,Fifth Edition,Uncommon,1,Black,False,False,True,True,b'Ron Spencer',0.45
Torture,Enchantment,Aura,Fifth Edition,Common,1,Black,True,False,True,True,b'Mark Tedin',0.09
Touch of Death,Sorcery,None,Fifth Edition,Common,3,Black,False,False,True,True,b'Melissa A. Benson',0.1
Unholy Strength,Enchantment,Aura,Fifth Edition,Common,1,Black,True,False,True,True,b'Tom Kyffin',0.12
Vampire Bats,Creature,Bat,Fifth Edition,Common,1,Black,True,False,True,True,b'Anson Maddocks',0.09
Wall of Bone,Creature,Skeleton Wall,Fifth Edition,Uncommon,3,Black,True,False,True,True,b'Anson Maddocks',0.22
Warp Artifact,Enchantment,Aura,Fifth Edition,Rare,2,Black,False,False,True,True,b'Amy Weber',0.24
Weakness,Enchantment,Aura,Fifth Edition,Common,1,Black,True,False,True,True,b'Kev Walker',0.1
Xenic Poltergeist,Creature,Spirit,Fifth Edition,Rare,3,Black,False,False,True,True,b'Mike Kerr',0.29
Zombie Master,Creature,Zombie,Fifth Edition,Rare,3,Black,False,False,True,True,b'Stuart Griffin',4.19
Ambush Party,Creature,Human Rogue,Fifth Edition,Common,5,Red,False,False,True,True,b'Charles Gillespie',0.13
Atog,Creature,Atog,Fifth Edition,Uncommon,2,Red,True,False,True,True,b'Jesper Myrfors',0.31
Ball Lightning,Creature,Elemental,Fifth Edition,Rare,3,Red,True,False,True,True,b'Quinton Hoover',2.98
Bird Maiden,Creature,Human Bird,Fifth Edition,Common,3,Red,False,False,True,True,b'Kaja Foglio',0.12
Blood Lust,Instant,None,Fifth Edition,Common,2,Red,False,False,True,True,b'Anson Maddocks',0.1
Brassclaw Orcs,Creature,Orc,Fifth Edition,Common,3,Red,False,False,True,True,b'Rob Alexander',0.04
Brothers of Fire,Creature,Human Shaman,Fifth Edition,Common,3,Red,False,False,True,True,b'Mark Tedin',0.08
Cave People,Creature,Human,Fifth Edition,Uncommon,3,Red,False,False,True,True,b'Steve Luke',0.17
Conquer,Enchantment,Aura,Fifth Edition,Uncommon,5,Red,False,False,True,True,b'Gary Leach',0.1
Crimson Manticore,Creature,Manticore,Fifth Edition,Rare,4,Red,False,False,True,True,b'Roger Raupp',0.2
Detonate,Sorcery,None,Fifth Edition,Uncommon,2,Red,True,False,True,True,b'Randy Asplund-Faith',0.21
Disintegrate,Sorcery,None,Fifth Edition,Common,2,Red,True,False,True,True,b'Anson Maddocks',0.12
Dwarven Catapult,Instant,None,Fifth Edition,Uncommon,2,Red,False,False,True,True,b'Jeff A. Menges',0.27
Dwarven Soldier,Creature,Dwarf Soldier,Fifth Edition,Common,2,Red,False,False,True,True,b'Randy Asplund-Faith',0.1
Dwarven Warriors,Creature,Dwarf Warrior,Fifth Edition,Common,3,Red,False,False,True,True,b'Douglas Shuler',0.12
Earthquake,Sorcery,None,Fifth Edition,Rare,2,Red,True,False,True,True,b'Richard Kane Ferguson',0.57
Errantry,Enchantment,Aura,Fifth Edition,Common,2,Red,False,False,True,True,b'Scott Kirschner',0.12
Eternal Warrior,Enchantment,Aura,Fifth Edition,Common,1,Red,False,False,True,True,b'Anson Maddocks',0.1
Fire Drake,Creature,Drake,Fifth Edition,Uncommon,3,Red,False,False,True,True,b'Christopher Rush',0.34
Fireball,Sorcery,None,Fifth Edition,Common,2,Red,True,False,True,True,b'Mark Tedin',0.11
Firebreathing,Enchantment,Aura,Fifth Edition,Common,1,Red,True,False,True,True,b'Dan Frazier',0.05
Flame Spirit,Creature,Elemental Spirit,Fifth Edition,Uncommon,5,Red,False,False,True,True,b'Justin Hampton',0.09
Flare,Instant,None,Fifth Edition,Common,3,Red,False,False,True,True,b'Andrew Robinson',0.15
Flashfires,Sorcery,None,Fifth Edition,Uncommon,4,Red,True,False,True,True,b'Dameon Willich',0.22
Game of Chaos,Sorcery,None,Fifth Edition,Rare,3,Red,False,False,True,True,b'Thomas Gianni',3.13
Giant Strength,Enchantment,Aura,Fifth Edition,Common,2,Red,False,False,True,True,b'Kev Walker',0.19
Goblin Digging Team,Creature,Goblin,Fifth Edition,Common,1,Red,False,False,True,True,b'Phil Foglio',0.22
Goblin Hero,Creature,Goblin,Fifth Edition,Common,3,Red,False,False,True,True,b'Pete Venters',0.14
Goblin King,Creature,Goblin,Fifth Edition,Rare,3,Red,True,False,True,True,b'Phil Foglio',2.35
Goblin War Drums,Enchantment,None,Fifth Edition,Common,3,Red,False,False,True,True,b'Dan Frazier',0.32
Goblin Warrens,Enchantment,None,Fifth Edition,Rare,3,Red,False,False,True,True,b'Dan Frazier',1.08
Hill Giant,Creature,Giant,Fifth Edition,Common,4,Red,True,False,True,True,b'Charles Gillespie',0.09
Hurloon Minotaur,Creature,Minotaur,Fifth Edition,Common,3,Red,False,False,True,True,b'Anson Maddocks',0.19
Imposing Visage,Enchantment,Aura,Fifth Edition,Common,1,Red,False,False,True,True,b'Brian Sn\xc3\xb5ddy',0.09
Incinerate,Instant,None,Fifth Edition,Common,2,Red,True,False,True,True,b'Scott M. Fischer',0.17
Inferno,Instant,None,Fifth Edition,Rare,7,Red,True,False,True,True,b'Mike Kerr',0.31
Ironclaw Curse,Enchantment,Aura,Fifth Edition,Rare,1,Red,False,False,True,True,b'Dennis Detwiller',0.3
Ironclaw Orcs,Creature,Orc,Fifth Edition,Common,2,Red,False,False,True,True,b'Anson Maddocks',0.09
