name,supertype,rarity,cmc,color,modern_legality,standard_legality,commander_legality,vintage_legality,legacy_legality,reprint,price,is_legendary
Sorcerer of the Fang,Creature,Common,2,Black,Legal,Legal,Legal,Legal,Legal,0,0.04,0
Sorin Imperious Bloodlord,Planeswalker,Mythic Rare,3,Black,Legal,Legal,Legal,Legal,Legal,0,10.43,0
Soul Salvage,Sorcery,Common,3,Black,Legal,Legal,Legal,Legal,Legal,0,0.04,0
Thought Distortion,Sorcery,Uncommon,6,Black,Legal,Legal,Legal,Legal,Legal,0,0.11,0
Undead Servant,Creature,Common,4,Black,Legal,Legal,Legal,Legal,Legal,0,0.03,0
Unholy Indenture,Enchantment,Common,3,Black,Legal,Legal,Legal,Legal,Legal,0,0.07,0
Vampire of the Dire Moon,Creature,Uncommon,1,Black,Legal,Legal,Legal,Legal,Legal,0,1.5,0
Vengeful Warchief,Creature,Uncommon,5,Black,Legal,Legal,Legal,Legal,Legal,0,0.06,0
Vilis Broker of Blood,Creature,Rare,8,Black,Legal,Legal,Legal,Legal,Legal,0,1.54,0
Yarok's Fenlurker,Creature,Uncommon,2,Black,Legal,Legal,Legal,Legal,Legal,0,0.41,0
Act of Treason,Sorcery,Common,3,Red,Legal,Legal,Legal,Legal,Legal,0,0.06,0
Cavalier of Flame,Creature,Mythic Rare,5,Red,Legal,Legal,Legal,Legal,Legal,0,5.87,0
Chandra Acolyte of Flame,Planeswalker,Rare,3,Red,Legal,Legal,Legal,Legal,Legal,0,0.99,0
Chandra Awakened Inferno,Planeswalker,Mythic Rare,6,Red,Legal,Legal,Legal,Legal,Legal,0,10.19,0
Chandra Novice Pyromancer,Planeswalker,Uncommon,4,Red,Legal,Legal,Legal,Legal,Legal,0,0.18,0
Chandra's Embercat,Creature,Common,2,Red,Legal,Legal,Legal,Legal,Legal,0,0.09,0
Chandra's Outrage,Instant,Common,4,Red,Legal,Legal,Legal,Legal,Legal,0,0.06,0
Chandra's Regulator,Artifact,Rare,2,Red,Legal,Legal,Legal,Legal,Legal,0,0.26,0
Chandra's Spitfire,Creature,Uncommon,3,Red,Legal,Legal,Legal,Legal,Legal,0,0.18,0
Daggersail Aeronaut,Creature,Common,4,Red,Legal,Legal,Legal,Legal,Legal,0,0.03,0
Destructive Digger,Creature,Common,3,Red,Legal,Legal,Legal,Legal,Legal,0,0.04,0
Dragon Mage,Creature,Uncommon,7,Red,Legal,Legal,Legal,Legal,Legal,0,0.12,0
Drakuseth Maw of Flames,Creature,Rare,7,Red,Legal,Legal,Legal,Legal,Legal,0,1.22,0
Ember Hauler,Creature,Uncommon,2,Red,Legal,Legal,Legal,Legal,Legal,0,0.07,0
Fire Elemental,Creature,Common,5,Red,Legal,Legal,Legal,Legal,Legal,0,0.04,0
Flame Sweep,Instant,Uncommon,3,Red,Legal,Legal,Legal,Legal,Legal,0,0.17,0
Fry,Instant,Uncommon,2,Red,Legal,Legal,Legal,Legal,Legal,0,0.23,0
Glint-Horn Buccaneer,Creature,Rare,3,Red,Legal,Legal,Legal,Legal,Legal,0,0.93,0
Goblin Bird-Grabber,Creature,Common,2,Red,Legal,Legal,Legal,Legal,Legal,0,0.04,0
Goblin Ringleader,Creature,Uncommon,4,Red,Legal,Legal,Legal,Legal,Legal,0,0.2,0
Goblin Smuggler,Creature,Common,3,Red,Legal,Legal,Legal,Legal,Legal,0,0.07,0
Infuriate,Instant,Common,1,Red,Legal,Legal,Legal,Legal,Legal,0,0.08,0
Keldon Raider,Creature,Common,4,Red,Legal,Legal,Legal,Legal,Legal,0,0.03,0
Lavakin Brawler,Creature,Common,4,Red,Legal,Legal,Legal,Legal,Legal,0,0.04,0
Leyline of Combustion,Enchantment,Rare,4,Red,Legal,Legal,Legal,Legal,Legal,0,0.38,0
Maniacal Rage,Enchantment,Common,2,Red,Legal,Legal,Legal,Legal,Legal,0,0.03,0
Marauding Raptor,Creature,Rare,2,Red,Legal,Legal,Legal,Legal,Legal,0,0.77,0
Mask of Immolation,Artifact,Uncommon,2,Red,Legal,Legal,Legal,Legal,Legal,0,0.07,0
Pack Mastiff,Creature,Common,2,Red,Legal,Legal,Legal,Legal,Legal,0,0.03,0
Rapacious Dragon,Creature,Uncommon,5,Red,Legal,Legal,Legal,Legal,Legal,0,0.09,0
Reckless Air Strike,Sorcery,Common,1,Red,Legal,Legal,Legal,Legal,Legal,0,0.05,0
Reduce to Ashes,Sorcery,Common,5,Red,Legal,Legal,Legal,Legal,Legal,0,0.02,0
Repeated Reverberation,Instant,Rare,4,Red,Legal,Legal,Legal,Legal,Legal,0,0.44,0
Ripscale Predator,Creature,Common,6,Red,Legal,Legal,Legal,Legal,Legal,0,0.04,0
Scampering Scorcher,Creature,Uncommon,4,Red,Legal,Legal,Legal,Legal,Legal,0,0.14,0
Scorch Spitter,Creature,Common,1,Red,Legal,Legal,Legal,Legal,Legal,0,0.13,0
Shock,Instant,Common,1,Red,Legal,Legal,Legal,Legal,Legal,0,0.09,0
Tectonic Rift,Sorcery,Common,4,Red,Legal,Legal,Legal,Legal,Legal,0,0.04,0
Thunderkin Awakener,Creature,Rare,2,Red,Legal,Legal,Legal,Legal,Legal,0,0.42,0
Uncaged Fury,Instant,Uncommon,3,Red,Legal,Legal,Legal,Legal,Legal,0,0.07,0
Unchained Berserker,Creature,Uncommon,2,Red,Legal,Legal,Legal,Legal,Legal,0,0.14,0
Barkhide Troll,Creature,Uncommon,2,Green,Legal,Legal,Legal,Legal,Legal,0,0.13,0
Brightwood Tracker,Creature,Common,4,Green,Legal,Legal,Legal,Legal,Legal,0,0.04,0
Cavalier of Thorns,Creature,Mythic Rare,5,Green,Legal,Legal,Legal,Legal,Legal,0,4.83,0
Centaur Courser,Creature,Common,3,Green,Legal,Legal,Legal,Legal,Legal,0,0.01,0
Elvish Reclaimer,Creature,Rare,1,Green,Legal,Legal,Legal,Legal,Legal,0,1.35,0
Feral Invocation,Enchantment,Common,3,Green,Legal,Legal,Legal,Legal,Legal,0,0.03,0
Ferocious Pup,Creature,Common,3,Green,Legal,Legal,Legal,Legal,Legal,0,0.08,0
Gargos Vicious Watcher,Creature,Rare,6,Green,Legal,Legal,Legal,Legal,Legal,0,1,0
Gift of Paradise,Enchantment,Common,3,Green,Legal,Legal,Legal,Legal,Legal,0,0.07,0
Greenwood Sentinel,Creature,Common,2,Green,Legal,Legal,Legal,Legal,Legal,0,0.03,0
Growth Cycle,Instant,Common,2,Green,Legal,Legal,Legal,Legal,Legal,0,0.07,0
Healer of the Glade,Creature,Common,1,Green,Legal,Legal,Legal,Legal,Legal,0,0.09,0
Howling Giant,Creature,Uncommon,7,Green,Legal,Legal,Legal,Legal,Legal,0,0.08,0
Leafkin Druid,Creature,Common,2,Green,Legal,Legal,Legal,Legal,Legal,0,0.13,0
Leyline of Abundance,Enchantment,Rare,4,Green,Legal,Legal,Legal,Legal,Legal,0,1.2,0
Loaming Shaman,Creature,Uncommon,3,Green,Legal,Legal,Legal,Legal,Legal,0,0.09,0
Mammoth Spider,Creature,Common,5,Green,Legal,Legal,Legal,Legal,Legal,0,0.05,0
Might of the Masses,Instant,Uncommon,1,Green,Legal,Legal,Legal,Legal,Legal,0,0.08,0
Natural End,Instant,Common,3,Green,Legal,Legal,Legal,Legal,Legal,0,0.05,0
Netcaster Spider,Creature,Common,3,Green,Legal,Legal,Legal,Legal,Legal,0,0.03,0
Nightpack Ambusher,Creature,Rare,4,Green,Legal,Legal,Legal,Legal,Legal,0,0.31,0
Overcome,Sorcery,Uncommon,5,Green,Legal,Legal,Legal,Legal,Legal,0,0.04,0
Overgrowth Elemental,Creature,Uncommon,3,Green,Legal,Legal,Legal,Legal,Legal,0,0.12,0
Plummet,Instant,Common,2,Green,Legal,Legal,Legal,Legal,Legal,0,0.04,0
Pulse of Murasa,Instant,Uncommon,3,Green,Legal,Legal,Legal,Legal,Legal,0,0.09,0
Rabid Bite,Sorcery,Common,2,Green,Legal,Legal,Legal,Legal,Legal,0,0.06,0
Season of Growth,Enchantment,Uncommon,2,Green,Legal,Legal,Legal,Legal,Legal,0,0.96,0
Sedge Scorpion,Creature,Common,1,Green,Legal,Legal,Legal,Legal,Legal,0,0.07,0
Shared Summons,Instant,Rare,5,Green,Legal,Legal,Legal,Legal,Legal,0,1.48,0
Shifting Ceratops,Creature,Rare,4,Green,Legal,Legal,Legal,Legal,Legal,0,0.4,0
Silverback Shaman,Creature,Common,5,Green,Legal,Legal,Legal,Legal,Legal,0,0.06,0
Thicket Crasher,Creature,Common,4,Green,Legal,Legal,Legal,Legal,Legal,0,0.05,0
Thrashing Brontodon,Creature,Uncommon,3,Green,Legal,Legal,Legal,Legal,Legal,0,0.07,0
Veil of Summer,Instant,Uncommon,1,Green,Legal,Banned,Legal,Legal,Legal,0,7.93,0
Vivien Arkbow Ranger,Planeswalker,Mythic Rare,4,Green,Legal,Legal,Legal,Legal,Legal,0,6.47,0
Voracious Hydra,Creature,Rare,3,Green,Legal,Legal,Legal,Legal,Legal,0,4.95,0
Vorstclaw,Creature,Common,6,Green,Legal,Legal,Legal,Legal,Legal,0,0.03,0
Wakeroot Elemental,Creature,Rare,6,Green,Legal,Legal,Legal,Legal,Legal,0,0.19,0
Wolfkin Bond,Enchantment,Common,5,Green,Legal,Legal,Legal,Legal,Legal,0,0.04,0
Wolfrider's Saddle,Artifact,Uncommon,4,Green,Legal,Legal,Legal,Legal,Legal,0,0.09,0
Woodland Champion,Creature,Uncommon,2,Green,Legal,Legal,Legal,Legal,Legal,0,0.12,0
Corpse Knight,Creature,Uncommon,2,Gold,Legal,Legal,Legal,Legal,Legal,0,0.23,0
Creeping Trailblazer,Creature,Uncommon,2,Gold,Legal,Legal,Legal,Legal,Legal,0,0.16,0
Empyrean Eagle,Creature,Uncommon,3,Gold,Legal,Legal,Legal,Legal,Legal,0,0.4,0
Ironroot Warlord,Creature,Uncommon,3,Gold,Legal,Legal,Legal,Legal,Legal,0,0.09,0
Kaalia Zenith Seeker,Creature,Mythic Rare,3,Gold,Legal,Legal,Legal,Legal,Legal,0,1.43,0
Kethis the Hidden Hand,Creature,Mythic Rare,3,Gold,Legal,Legal,Legal,Legal,Legal,0,2.1,0
Kykar Wind's Fury,Creature,Mythic Rare,4,Gold,Legal,Legal,Legal,Legal,Legal,0,2.53,0
Lightning Stormkin,Creature,Uncommon,2,Gold,Legal,Legal,Legal,Legal,Legal,0,0.1,0
Moldervine Reclamation,Enchantment,Uncommon,5,Gold,Legal,Legal,Legal,Legal,Legal,0,0.19,0
Ogre Siegebreaker,Creature,Uncommon,4,Gold,Legal,Legal,Legal,Legal,Legal,0,0.09,0
Omnath Locus of the Roil,Creature,Mythic Rare,4,Gold,Legal,Legal,Legal,Legal,Legal,0,3.58,0
Risen Reef,Creature,Uncommon,3,Gold,Legal,Legal,Legal,Legal,Legal,0,0.42,0
Skyknight Vanguard,Creature,Uncommon,2,Gold,Legal,Legal,Legal,Legal,Legal,0,0.1,0
Tomebound Lich,Creature,Uncommon,3,Gold,Legal,Legal,Legal,Legal,Legal,0,0.17,0
Yarok the Desecrated,Creature,Mythic Rare,5,Gold,Legal,Legal,Legal,Legal,Legal,0,9.24,0
Anvilwrought Raptor,Artifact Creature,Common,4,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.05,0
Bag of Holding,Artifact,Rare,1,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.35,0
Colossus Hammer,Artifact,Uncommon,1,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.26,0
Diamond Knight,Artifact Creature,Uncommon,3,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.13,0
Diviner's Lockbox,Artifact,Uncommon,4,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.06,0
Golos Tireless Pilgrim,Artifact Creature,Rare,5,Colorless,Legal,Legal,Legal,Legal,Legal,0,3.81,0
Grafdigger's Cage,Artifact,Rare,1,Colorless,Legal,Legal,Legal,Legal,Legal,0,1.92,0
Heart-Piercer Bow,Artifact,Common,2,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.05,0
Icon of Ancestry,Artifact,Rare,3,Colorless,Legal,Legal,Legal,Legal,Legal,0,1.67,0
Manifold Key,Artifact,Uncommon,1,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.44,0
Marauder's Axe,Artifact,Common,2,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.03,0
Meteor Golem,Artifact Creature,Uncommon,7,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.11,0
Mystic Forge,Artifact,Rare,4,Colorless,Legal,Legal,Legal,Restrict.,Legal,0,3.19,0
Pattern Matcher,Artifact Creature,Uncommon,4,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.08,0
Prismite,Artifact Creature,Common,2,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.07,0
Retributive Wand,Artifact,Uncommon,3,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.09,0
Salvager of Ruin,Artifact Creature,Uncommon,3,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.1,0
Scuttlemutt,Artifact Creature,Uncommon,3,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.09,0
Steel Overseer,Artifact Creature,Rare,2,Colorless,Legal,Legal,Legal,Legal,Legal,0,1.99,0
Stone Golem,Artifact Creature,Common,5,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.03,0
Vial of Dragonfire,Artifact,Common,2,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.06,0
Bloodfell Caves,Land,Common,0,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.07,0
Blossoming Sands,Land,Common,0,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.12,0
Cryptic Caves,Land,Uncommon,0,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.11,0
Dismal Backwater,Land,Common,0,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.12,0
Evolving Wilds,Land,Common,0,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.09,0
Field of the Dead,Land,Rare,0,Colorless,Legal,Banned,Legal,Legal,Legal,0,8.03,0
Jungle Hollow,Land,Common,0,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.11,0
Lotus Field,Land,Rare,0,Colorless,Legal,Legal,Legal,Legal,Legal,0,6,0
Rugged Highlands,Land,Common,0,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.1,0
Scoured Barrens,Land,Common,0,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.12,0
Swiftwater Cliffs,Land,Common,0,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.1,0
Temple of Epiphany,Land,Rare,0,Colorless,Legal,Legal,Legal,Legal,Legal,0,1.48,0
Temple of Malady,Land,Rare,0,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.61,0
Temple of Mystery,Land,Rare,0,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.91,0
Temple of Silence,Land,Rare,0,Colorless,Legal,Legal,Legal,Legal,Legal,0,1.02,0
Temple of Triumph,Land,Rare,0,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.64,0
Thornwood Falls,Land,Common,0,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.08,0
Tranquil Cove,Land,Common,0,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.09,0
Wind-Scarred Crag,Land,Common,0,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.09,0
Plains,Basic Land,Common,0,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.17,0
Plains,Basic Land,Common,0,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.07,0
Plains,Basic Land,Common,0,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.08,0
Plains,Basic Land,Common,0,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.08,0
Island,Basic Land,Common,0,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.36,0
Island,Basic Land,Common,0,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.08,0
Island,Basic Land,Common,0,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.09,0
Island,Basic Land,Common,0,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.11,0
Swamp,Basic Land,Common,0,Colorless,Legal,Legal,Legal,Legal,Legal,0,0.28,0
