names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,reprint,artist,price
Bloodthirsty Aerialist,Creature,Vampire Rogue,Core Set 2020,Uncommon,3,Black,True,True,True,True,b'Igor Kieryluk',0.3
Bone Splinters,Sorcery,None,Core Set 2020,Common,1,Black,True,True,True,True,b'Cole Eastburn',0.07
Boneclad Necromancer,Creature,Human Wizard,Core Set 2020,Common,5,Black,True,True,True,True,b'Robbie Trevino',0.04
Cavalier of Night,Creature,Elemental Knight,Core Set 2020,Mythic Rare,5,Black,True,True,True,True,b'Viktor Titov',4.11
Disfigure,Instant,None,Core Set 2020,Uncommon,1,Black,True,True,True,True,b'Justin Sweet',0.12
Dread Presence,Creature,Nightmare,Core Set 2020,Rare,4,Black,True,True,True,True,b'Anthony Palumbo',0.81
Duress,Sorcery,None,Core Set 2020,Common,1,Black,True,True,True,True,b'Steven Belledin',0.07
Embodiment of Agonies,Creature,Demon,Core Set 2020,Rare,3,Black,True,True,True,True,b'Igor Kieryluk',0.33
Epicure of Blood,Creature,Vampire,Core Set 2020,Common,5,Black,True,True,True,True,b'Anna Steinbauer',0.04
Fathom Fleet Cutthroat,Creature,Human Pirate,Core Set 2020,Common,4,Black,True,True,True,True,b'Josu Hernaiz',0.04
Feral Abomination,Creature,Thrull,Core Set 2020,Common,6,Black,True,True,True,True,b'Darek Zabrocki',0.03
Gorging Vulture,Creature,Bird,Core Set 2020,Common,3,Black,True,True,True,True,b'Caio Monteiro',0.07
Gravedigger,Creature,Zombie,Core Set 2020,Uncommon,4,Black,True,True,True,True,b'Tony Foti',0.06
Gruesome Scourger,Creature,Orc Warrior,Core Set 2020,Uncommon,5,Black,True,True,True,True,b'Karl Kopinski',0.05
Knight of the Ebon Legion,Creature,Vampire Knight,Core Set 2020,Rare,1,Black,True,True,True,True,b'Alex Konstad',1.38
Legion's End,Sorcery,None,Core Set 2020,Rare,2,Black,True,True,True,True,b'David Palumbo',0.92
Leyline of the Void,Enchantment,None,Core Set 2020,Rare,4,Black,True,True,True,True,b'Noah Bradley',8.74
Mind Rot,Sorcery,None,Core Set 2020,Common,3,Black,True,True,True,True,b'Seb McKinnon',0.07
Murder,Instant,None,Core Set 2020,Common,3,Black,True,True,True,True,b'Allen Williams',0.09
Noxious Grasp,Instant,None,Core Set 2020,Uncommon,2,Black,True,True,True,True,b'Tomasz Jedruszek',0.23
Rotting Regisaur,Creature,Zombie Dinosaur,Core Set 2020,Rare,3,Black,True,True,True,True,b'Randy Vargas',2.67
Sanitarium Skeleton,Creature,Skeleton,Core Set 2020,Common,1,Black,True,True,True,True,b'Kev Walker',0.07
Scheming Symmetry,Sorcery,None,Core Set 2020,Rare,1,Black,True,True,True,True,b'Seb McKinnon',2.16
Sorcerer of the Fang,Creature,Human Wizard,Core Set 2020,Common,2,Black,True,True,True,True,b'Caio Monteiro',0.03
"Sorin, Imperious Bloodlord",Legendary Planeswalker,Sorin,Core Set 2020,Mythic Rare,3,Black,True,True,True,True,b'Chase Stone',8.65
Soul Salvage,Sorcery,None,Core Set 2020,Common,3,Black,True,True,True,True,b'Daarken',0.03
Thought Distortion,Sorcery,None,Core Set 2020,Uncommon,6,Black,True,True,True,True,b'David Palumbo',0.15
Undead Servant,Creature,Zombie,Core Set 2020,Common,4,Black,True,True,True,True,b'James Zapata',0.04
Unholy Indenture,Enchantment,Aura,Core Set 2020,Common,3,Black,True,True,True,True,b'Seb McKinnon',0.06
Vampire of the Dire Moon,Creature,Vampire,Core Set 2020,Uncommon,1,Black,True,True,True,True,b'Anna Podedworna',0.58
Vengeful Warchief,Creature,Orc Warrior,Core Set 2020,Uncommon,5,Black,True,True,True,True,b'Karl Kopinski',0.03
"Vilis, Broker of Blood",Legendary Creature,Demon,Core Set 2020,Rare,8,Black,True,True,True,True,b'Tyler Jacobson',1.51
Yarok's Fenlurker,Creature,Horror,Core Set 2020,Uncommon,2,Black,True,True,True,True,b'Daarken',0.45
Act of Treason,Sorcery,None,Core Set 2020,Common,3,Red,True,True,True,True,b'Eric Deschamps',0.06
Cavalier of Flame,Creature,Elemental Knight,Core Set 2020,Mythic Rare,5,Red,True,True,True,True,b'Wesley Burt',6.89
"Chandra, Acolyte of Flame",Legendary Planeswalker,Chandra,Core Set 2020,Rare,3,Red,True,True,True,True,b'Anna Steinbauer',0.83
"Chandra, Awakened Inferno",Legendary Planeswalker,Chandra,Core Set 2020,Mythic Rare,6,Red,True,True,True,True,b'Chris Rahn',10.81
"Chandra, Novice Pyromancer",Legendary Planeswalker,Chandra,Core Set 2020,Uncommon,4,Red,True,True,True,True,b'Anna Steinbauer',0.22
Chandra's Embercat,Creature,Elemental Cat,Core Set 2020,Common,2,Red,True,True,True,True,b'Johan Grenier',0.07
Chandra's Outrage,Instant,None,Core Set 2020,Common,4,Red,True,True,True,True,b'Christopher Moeller',0.05
Chandra's Regulator,Legendary Artifact,None,Core Set 2020,Rare,2,Red,True,True,True,True,b'Eric Deschamps',0.26
Chandra's Spitfire,Creature,Elemental,Core Set 2020,Uncommon,3,Red,True,True,True,True,b'Chris Rallis',0.19
Daggersail Aeronaut,Creature,Goblin,Core Set 2020,Common,4,Red,True,True,True,True,b'Zoltan Boros',0.04
Destructive Digger,Creature,Goblin,Core Set 2020,Common,3,Red,True,True,True,True,b'Zoltan Boros',0.03
Dragon Mage,Creature,Dragon Wizard,Core Set 2020,Uncommon,7,Red,True,True,True,True,b'Matthew D. Wilson',0.16
"Drakuseth, Maw of Flames",Legendary Creature,Dragon,Core Set 2020,Rare,7,Red,True,True,True,True,b'Grzegorz Rutkowski',1.04
Ember Hauler,Creature,Goblin,Core Set 2020,Uncommon,2,Red,True,True,True,True,b'Steve Prescott',0.08
Fire Elemental,Creature,Elemental,Core Set 2020,Common,5,Red,True,True,True,True,b'Joe Slucher',0.03
Flame Sweep,Instant,None,Core Set 2020,Uncommon,3,Red,True,True,True,True,b'Viktor Titov',0.27
Fry,Instant,None,Core Set 2020,Uncommon,2,Red,True,True,True,True,b'Tomasz Jedruszek',0.25
Glint-Horn Buccaneer,Creature,Minotaur Pirate,Core Set 2020,Rare,3,Red,True,True,True,True,b'Zack Stella',0.45
Goblin Bird-Grabber,Creature,Goblin,Core Set 2020,Common,2,Red,True,True,True,True,b'Anna Podedworna',0.03
Goblin Ringleader,Creature,Goblin,Core Set 2020,Uncommon,4,Red,True,True,True,True,b'Gabor Szikszai',0.15
Goblin Smuggler,Creature,Goblin Rogue,Core Set 2020,Common,3,Red,True,True,True,True,b'Dan Scott',0.05
Infuriate,Instant,None,Core Set 2020,Common,1,Red,True,True,True,True,b'Caio Monteiro',0.06
Keldon Raider,Creature,Human Warrior,Core Set 2020,Common,4,Red,True,True,True,True,b'Chris Seaman',0.03
Lavakin Brawler,Creature,Elemental Warrior,Core Set 2020,Common,4,Red,True,True,True,True,b'Victor Adame Minguez',0.07
Leyline of Combustion,Enchantment,None,Core Set 2020,Rare,4,Red,True,True,True,True,b'Noah Bradley',0.41
Maniacal Rage,Enchantment,Aura,Core Set 2020,Common,2,Red,True,True,True,True,b'Heonhwa Choe',0.02
Marauding Raptor,Creature,Dinosaur,Core Set 2020,Rare,2,Red,True,True,True,True,b'Bayard Wu',0.73
Mask of Immolation,Artifact,Equipment,Core Set 2020,Uncommon,2,Red,True,True,True,True,b'Igor Kieryluk',0.08
Pack Mastiff,Creature,Hound,Core Set 2020,Common,2,Red,True,True,True,True,b'Svetlin Velinov',0.02
Rapacious Dragon,Creature,Dragon,Core Set 2020,Uncommon,5,Red,True,True,True,True,b'Johan Grenier',0.11
Reckless Air Strike,Sorcery,None,Core Set 2020,Common,1,Red,True,True,True,True,b'Jakub Kasper',0.04
Reduce to Ashes,Sorcery,None,Core Set 2020,Common,5,Red,True,True,True,True,b'Jason A. Engle',0.02
Repeated Reverberation,Instant,None,Core Set 2020,Rare,4,Red,True,True,True,True,b'Izzy',0.38
Ripscale Predator,Creature,Dinosaur,Core Set 2020,Common,6,Red,True,True,True,True,b'Volkan Ba\xc7\xb5a',0.05
Scampering Scorcher,Creature,Elemental,Core Set 2020,Uncommon,4,Red,True,True,True,True,b'Zoltan Boros',0.16
Scorch Spitter,Creature,Elemental Lizard,Core Set 2020,Common,1,Red,True,True,True,True,b'Johan Grenier',0.17
Shock,Instant,None,Core Set 2020,Common,1,Red,True,True,True,True,b'Jason Rainville',0.11
Tectonic Rift,Sorcery,None,Core Set 2020,Common,4,Red,True,True,True,True,b'John Avon',0.04
Thunderkin Awakener,Creature,Elemental Shaman,Core Set 2020,Rare,2,Red,True,True,True,True,b'Yongjae Choi',0.48
Uncaged Fury,Instant,None,Core Set 2020,Uncommon,3,Red,True,True,True,True,b'Jason Kang',0.06
Unchained Berserker,Creature,Human Berserker,Core Set 2020,Uncommon,2,Red,True,True,True,True,b'Bram Sels',0.14
Barkhide Troll,Creature,Troll,Core Set 2020,Uncommon,2,Green,True,True,True,True,b'Grzegorz Rutkowski',0.13
Brightwood Tracker,Creature,Elf Scout,Core Set 2020,Common,4,Green,True,True,True,True,b'Johannes Voss',0.03
Cavalier of Thorns,Creature,Elemental Knight,Core Set 2020,Mythic Rare,5,Green,True,True,True,True,b'Jehan Choo',5.51
Centaur Courser,Creature,Centaur Warrior,Core Set 2020,Common,3,Green,True,True,True,True,b'Vance Kovacs',0.02
Elvish Reclaimer,Creature,Elf Warrior,Core Set 2020,Rare,1,Green,True,True,True,True,b'Victor Adame Minguez',1.18
Feral Invocation,Enchantment,Aura,Core Set 2020,Common,3,Green,True,True,True,True,b'Mathias Kollros',0.03
Ferocious Pup,Creature,Wolf,Core Set 2020,Common,3,Green,True,True,True,True,b'Rudy Siswanto',0.07
"Gargos, Vicious Watcher",Legendary Creature,Hydra,Core Set 2020,Rare,6,Green,True,True,True,True,b'Mathias Kollros',0.83
Gift of Paradise,Enchantment,Aura,Core Set 2020,Common,3,Green,True,True,True,True,b'Ryan Pancoast',0.09
Greenwood Sentinel,Creature,Elf Scout,Core Set 2020,Common,2,Green,True,True,True,True,b'Johann Bodin',0.04
Growth Cycle,Instant,None,Core Set 2020,Common,2,Green,True,True,True,True,b'Svetlin Velinov',0.03
Healer of the Glade,Creature,Elemental,Core Set 2020,Common,1,Green,True,True,True,True,b'Daarken',0.11
Howling Giant,Creature,Giant Druid,Core Set 2020,Uncommon,7,Green,True,True,True,True,b'Grzegorz Rutkowski',0.1
Leafkin Druid,Creature,Elemental Druid,Core Set 2020,Common,2,Green,True,True,True,True,b'Filip Burburan',0.15
Leyline of Abundance,Enchantment,None,Core Set 2020,Rare,4,Green,True,True,True,True,b'Noah Bradley',1.01
Loaming Shaman,Creature,Centaur Shaman,Core Set 2020,Uncommon,3,Green,True,True,True,True,b'Carl Critchlow',0.13
Mammoth Spider,Creature,Spider,Core Set 2020,Common,5,Green,True,True,True,True,b'Lars Grant-West',0.05
Might of the Masses,Instant,None,Core Set 2020,Uncommon,1,Green,True,True,True,True,b'Johann Bodin',0.09
Natural End,Instant,None,Core Set 2020,Common,3,Green,True,True,True,True,b'Scott Chou',0.05
Netcaster Spider,Creature,Spider,Core Set 2020,Common,3,Green,True,True,True,True,b'Yohann Schepacz',0.04
Nightpack Ambusher,Creature,Wolf,Core Set 2020,Rare,4,Green,True,True,True,True,b'Dan Scott',0.49
Overcome,Sorcery,None,Core Set 2020,Uncommon,5,Green,True,True,True,True,b'Craig J Spearing',0.03
Overgrowth Elemental,Creature,Elemental,Core Set 2020,Uncommon,3,Green,True,True,True,True,b'Mathias Kollros',0.13
Plummet,Instant,None,Core Set 2020,Common,2,Green,True,True,True,True,b'Filip Burburan',0.04
Pulse of Murasa,Instant,None,Core Set 2020,Uncommon,3,Green,True,True,True,True,b'Matt Stewart',0.1
Rabid Bite,Sorcery,None,Core Set 2020,Common,2,Green,True,True,True,True,b'Karl Kopinski',0.06
Season of Growth,Enchantment,None,Core Set 2020,Uncommon,2,Green,True,True,True,True,b'Randy Vargas',0.58
Sedge Scorpion,Creature,Scorpion,Core Set 2020,Common,1,Green,True,True,True,True,b'John Stanko',0.04
Shared Summons,Instant,None,Core Set 2020,Rare,5,Green,True,True,True,True,b'Aaron Miller',1.25
Shifting Ceratops,Creature,Dinosaur,Core Set 2020,Rare,4,Green,True,True,True,True,b'Izzy',0.52
Silverback Shaman,Creature,Ape Shaman,Core Set 2020,Common,5,Green,True,True,True,True,b'Mathias Kollros',0.03
Thicket Crasher,Creature,Elemental Rhino,Core Set 2020,Common,4,Green,True,True,True,True,b'Mathias Kollros',0.1
Thrashing Brontodon,Creature,Dinosaur,Core Set 2020,Uncommon,3,Green,True,True,True,True,b'Jakub Kasper',0.15
Veil of Summer,Instant,None,Core Set 2020,Uncommon,1,Green,True,False,True,True,b'Lake Hurwitz',5.27
"Vivien, Arkbow Ranger",Legendary Planeswalker,Vivien,Core Set 2020,Mythic Rare,4,Green,True,True,True,True,b'Yongjae Choi',6.7
Voracious Hydra,Creature,Hydra,Core Set 2020,Rare,3,Green,True,True,True,True,b'Wayne Reynolds',4.14
Vorstclaw,Creature,Elemental Horror,Core Set 2020,Common,6,Green,True,True,True,True,b'Lucas Graciano',0.02
Wakeroot Elemental,Creature,Elemental,Core Set 2020,Rare,6,Green,True,True,True,True,b'Filip Burburan',0.15
Wolfkin Bond,Enchantment,Aura,Core Set 2020,Common,5,Green,True,True,True,True,b'Lindsey Look',0.03
Wolfrider's Saddle,Artifact,Equipment,Core Set 2020,Uncommon,4,Green,True,True,True,True,b'Raoul Vitale',0.08
Woodland Champion,Creature,Elf Scout,Core Set 2020,Uncommon,2,Green,True,True,True,True,b'Randy Vargas',0.1
Corpse Knight,Creature,Zombie Knight,Core Set 2020,Uncommon,2,Gold,True,True,True,True,b'Karl Kopinski',0.25
Creeping Trailblazer,Creature,Elemental,Core Set 2020,Uncommon,2,Gold,True,True,True,True,b'Johan Grenier',0.15
Empyrean Eagle,Creature,Bird Spirit,Core Set 2020,Uncommon,3,Gold,True,True,True,True,b'Jason A. Engle',0.41
Ironroot Warlord,Creature,Treefolk Soldier,Core Set 2020,Uncommon,3,Gold,True,True,True,True,b'Filip Burburan',0.08
"Kaalia, Zenith Seeker",Legendary Creature,Human Cleric,Core Set 2020,Mythic Rare,3,Gold,True,True,True,True,b'Yongjae Choi',1.4
"Kethis, the Hidden Hand",Legendary Creature,Elf Advisor,Core Set 2020,Mythic Rare,3,Gold,True,True,True,True,b'Yongjae Choi',1.57
"Kykar, Wind's Fury",Legendary Creature,Bird Wizard,Core Set 2020,Mythic Rare,4,Gold,True,True,True,True,b'G-host Lee',1.98
Lightning Stormkin,Creature,Elemental Wizard,Core Set 2020,Uncommon,2,Gold,True,True,True,True,b'Rudy Siswanto',0.12
Moldervine Reclamation,Enchantment,None,Core Set 2020,Uncommon,5,Gold,True,True,True,True,b'Antonio Jos\xc3\xa9 Manzanedo',0.22
Ogre Siegebreaker,Creature,Ogre Berserker,Core Set 2020,Uncommon,4,Gold,True,True,True,True,b'Zoltan Boros',0.07
"Omnath, Locus of the Roil",Legendary Creature,Elemental,Core Set 2020,Mythic Rare,4,Gold,True,True,True,True,b'Lius Lasahido',3.45
Risen Reef,Creature,Elemental,Core Set 2020,Uncommon,3,Gold,True,True,True,True,b'Johan Grenier',0.42
Skyknight Vanguard,Creature,Human Knight,Core Set 2020,Uncommon,2,Gold,True,True,True,True,b'Bayard Wu',0.15
Tomebound Lich,Creature,Zombie Wizard,Core Set 2020,Uncommon,3,Gold,True,True,True,True,b'Cristi Balanescu',0.18
"Yarok, the Desecrated",Legendary Creature,Elemental Horror,Core Set 2020,Mythic Rare,5,Gold,True,True,True,True,b'Daarken',6.7
Anvilwrought Raptor,Artifact Creature,Bird,Core Set 2020,Common,4,Colorless,True,True,True,True,b'James Zapata',0.04
Bag of Holding,Artifact,None,Core Set 2020,Rare,1,Colorless,True,True,True,True,b'Dmitry Burmak',0.35
Colossus Hammer,Artifact,Equipment,Core Set 2020,Uncommon,1,Colorless,True,True,True,True,b'Dmitry Burmak',0.3
Diamond Knight,Artifact Creature,Knight,Core Set 2020,Uncommon,3,Colorless,True,True,True,True,b'Alayna Danner',0.15
Diviner's Lockbox,Artifact,None,Core Set 2020,Uncommon,4,Colorless,True,True,True,True,b'Lake Hurwitz',0.03
"Golos, Tireless Pilgrim",Legendary Artifact Creature,Scout,Core Set 2020,Rare,5,Colorless,True,True,True,True,b'Joseph Meehan',2.43
Grafdigger's Cage,Artifact,None,Core Set 2020,Rare,1,Colorless,True,True,True,True,b'Daniel Ljunggren',1.54
Heart-Piercer Bow,Artifact,Equipment,Core Set 2020,Common,2,Colorless,True,True,True,True,b'Franz Vohwinkel',0.03
Icon of Ancestry,Artifact,None,Core Set 2020,Rare,3,Colorless,True,True,True,True,b'Chris Seaman',1.26
Manifold Key,Artifact,None,Core Set 2020,Uncommon,1,Colorless,True,True,True,True,b'Lake Hurwitz',0.4
Marauder's Axe,Artifact,Equipment,Core Set 2020,Common,2,Colorless,True,True,True,True,b'Mitchell Malloy',0.03
Meteor Golem,Artifact Creature,Golem,Core Set 2020,Uncommon,7,Colorless,True,True,True,True,b'Lake Hurwitz',0.14
