id,names,supertypes,subtypes,set,rarity,cmc,color,modern_legality,standard_legality,commander_legality,vintage_legality,legacy_legality,reprint,artist,price,is_legendary
34,Rule of Law,Enchantment,None,Core Set 2020,Uncommon,3,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Scott M. Fischer',0.12,FALSE
35,Sephara Sky's Blade,Creature,Angel,Core Set 2020,Rare,7,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Livia Prima',0.65,TRUE
36,Soulmender,Creature,Human Cleric,Core Set 2020,Common,1,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'James Ryman',0.06,FALSE
37,Squad Captain,Creature,Human Soldier,Core Set 2020,Common,5,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Cristi Balanescu',0.06,FALSE
38,Starfield Mystic,Creature,Human Cleric,Core Set 2020,Rare,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Eric Deschamps',1.12,FALSE
39,Steadfast Sentry,Creature,Human Soldier,Core Set 2020,Common,3,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Bram Sels',0.04,FALSE
40,Yoked Ox,Creature,Ox,Core Set 2020,Common,1,White,Legal,Legal,Legal,Legal,Legal,TRUE,b'Ryan Yee',0.03,FALSE
41,Aether Gust,Instant,None,Core Set 2020,Uncommon,2,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Tomasz Jedruszek',0.29,FALSE
42,Agent of Treachery,Creature,Human Rogue,Core Set 2020,Rare,7,Blue,Legal,Banned,Legal,Legal,Legal,TRUE,b'Igor Kieryluk',5.92,FALSE
43,Air Elemental,Creature,Elemental,Core Set 2020,Uncommon,5,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Tomasz Jedruszek',0.04,FALSE
44,Anticipate,Instant,None,Core Set 2020,Common,2,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Tyler Jacobson',0.07,FALSE
45,Atemsis All-Seeing,Creature,Sphinx,Core Set 2020,Rare,6,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Ryan Pancoast',0.2,TRUE
46,Befuddle,Instant,None,Core Set 2020,Common,3,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Svetlin Velinov',0.04,FALSE
47,Bone to Ash,Instant,None,Core Set 2020,Common,4,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Clint Cearley',0.03,FALSE
48,Boreal Elemental,Creature,Elemental,Core Set 2020,Common,5,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Victor Adame Minguez',0.04,FALSE
49,Brineborn Cutthroat,Creature,Merfolk Pirate,Core Set 2020,Uncommon,2,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Caio Monteiro',0.12,FALSE
50,Captivating Gyre,Sorcery,None,Core Set 2020,Uncommon,6,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Anthony Palumbo',0.07,FALSE
51,Cavalier of Gales,Creature,Elemental Knight,Core Set 2020,Mythic Rare,5,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Viktor Titov',3.73,FALSE
52,Cerulean Drake,Creature,Drake,Core Set 2020,Uncommon,2,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Daniel Ljunggren',0.17,FALSE
53,Cloudkin Seer,Creature,Elemental Wizard,Core Set 2020,Common,3,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Anastasia Ovchinnikova',0.1,FALSE
54,Convolute,Instant,None,Core Set 2020,Common,3,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Viktor Titov',0.09,FALSE
55,Drawn from Dreams,Sorcery,None,Core Set 2020,Rare,4,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Chris Seaman',0.23,FALSE
56,Dungeon Geists,Creature,Spirit,Core Set 2020,Rare,4,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Nils Hamm',0.22,FALSE
57,Faerie Miscreant,Creature,Faerie Rogue,Core Set 2020,Common,1,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Steven Belledin',0.09,FALSE
58,Flood of Tears,Sorcery,None,Core Set 2020,Rare,6,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Adam Paquette',0.95,FALSE
59,Fortress Crab,Creature,Crab,Core Set 2020,Common,4,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Vincent Proce',0.04,FALSE
60,Frilled Sea Serpent,Creature,Serpent,Core Set 2020,Common,6,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Steven Belledin',0.02,FALSE
61,Frost Lynx,Creature,Elemental Cat,Core Set 2020,Common,3,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Izzy',0.04,FALSE
62,Hard Cover,Enchantment,Aura,Core Set 2020,Uncommon,1,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Pindurski',0.06,FALSE
63,Leyline of Anticipation,Enchantment,None,Core Set 2020,Rare,4,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Noah Bradley',6.17,FALSE
64,Masterful Replication,Instant,None,Core Set 2020,Rare,6,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Victor Adame Minguez',0.17,FALSE
65,Metropolis Sprite,Creature,Faerie Rogue,Core Set 2020,Common,2,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Scott Chou',0.04,FALSE
66,Moat Piranhas,Creature,Fish,Core Set 2020,Common,2,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Rudy Siswanto',0.04,FALSE
67,Mu Yanling Sky Dancer,Planeswalker,Yanling,Core Set 2020,Mythic Rare,3,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'G-host Lee',2.19,TRUE
68,Negate,Instant,None,Core Set 2020,Common,2,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Magali Villeneuve',0.16,FALSE
69,Octoprophet,Creature,Octopus,Core Set 2020,Common,4,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Grzegorz Rutkowski',0.04,FALSE
70,Portal of Sanctuary,Artifact,None,Core Set 2020,Uncommon,3,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Randy Vargas',0.07,FALSE
71,Renowned Weaponsmith,Creature,Human Artificer,Core Set 2020,Uncommon,2,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Eric Deschamps',0.09,FALSE
72,Sage's Row Denizen,Creature,Vedalken Wizard,Core Set 2020,Common,3,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Svetlin Velinov',0.04,FALSE
73,Scholar of the Ages,Creature,Human Wizard,Core Set 2020,Uncommon,7,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Micah Epstein',0.11,FALSE
74,Sleep Paralysis,Enchantment,Aura,Core Set 2020,Common,4,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Josu Hernaiz',0.02,FALSE
75,Spectral Sailor,Creature,Spirit Pirate,Core Set 2020,Uncommon,1,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Cristi Balanescu',0.28,FALSE
76,Tale's End,Instant,None,Core Set 2020,Rare,2,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Randy Vargas',0.92,FALSE
77,Unsummon,Instant,None,Core Set 2020,Common,1,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Izzy',0.09,FALSE
78,Warden of Evos Isle,Creature,Bird Wizard,Core Set 2020,Uncommon,3,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Nils Hamm',0.09,FALSE
79,Winged Words,Sorcery,None,Core Set 2020,Common,3,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Chris Seaman',0.14,FALSE
80,Yarok's Wavecrasher,Creature,Elemental,Core Set 2020,Uncommon,4,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Randy Vargas',0.06,FALSE
81,Zephyr Charge,Enchantment,None,Core Set 2020,Common,2,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Steve Prescott',0.02,FALSE
82,Agonizing Syphon,Sorcery,None,Core Set 2020,Common,4,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Seb McKinnon',0.05,FALSE
83,Audacious Thief,Creature,Human Rogue,Core Set 2020,Common,3,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Dmitry Burmak',0.06,FALSE
84,Barony Vampire,Creature,Vampire,Core Set 2020,Common,3,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Daarken',0.06,FALSE
85,Bladebrand,Instant,None,Core Set 2020,Common,2,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Winona Nelson',0.05,FALSE
86,Blightbeetle,Creature,Insect,Core Set 2020,Uncommon,2,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Jason Kang',0.12,FALSE
87,Blood Burglar,Creature,Vampire Rogue,Core Set 2020,Common,2,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Cristi Balanescu',0.07,FALSE
88,Blood for Bones,Sorcery,None,Core Set 2020,Uncommon,4,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Seb McKinnon',0.3,FALSE
89,Bloodsoaked Altar,Artifact,None,Core Set 2020,Uncommon,6,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Sidharth Chaturvedi',0.07,FALSE
90,Bloodthirsty Aerialist,Creature,Vampire Rogue,Core Set 2020,Uncommon,3,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Igor Kieryluk',0.32,FALSE
91,Bone Splinters,Sorcery,None,Core Set 2020,Common,1,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Cole Eastburn',0.08,FALSE
92,Boneclad Necromancer,Creature,Human Wizard,Core Set 2020,Common,5,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Robbie Trevino',0.04,FALSE
93,Cavalier of Night,Creature,Elemental Knight,Core Set 2020,Mythic Rare,5,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Viktor Titov',4.02,FALSE
94,Disfigure,Instant,None,Core Set 2020,Uncommon,1,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Justin Sweet',0.1,FALSE
95,Dread Presence,Creature,Nightmare,Core Set 2020,Rare,4,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Anthony Palumbo',0.74,FALSE
96,Duress,Sorcery,None,Core Set 2020,Common,1,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Steven Belledin',0.06,FALSE
97,Embodiment of Agonies,Creature,Demon,Core Set 2020,Rare,3,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Igor Kieryluk',0.36,FALSE
98,Epicure of Blood,Creature,Vampire,Core Set 2020,Common,5,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Anna Steinbauer',0.07,FALSE
99,Fathom Fleet Cutthroat,Creature,Human Pirate,Core Set 2020,Common,4,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Josu Hernaiz',0.05,FALSE
100,Feral Abomination,Creature,Thrull,Core Set 2020,Common,6,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Darek Zabrocki',0.03,FALSE
101,Gorging Vulture,Creature,Bird,Core Set 2020,Common,3,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Caio Monteiro',0.06,FALSE
102,Gravedigger,Creature,Zombie,Core Set 2020,Uncommon,4,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Tony Foti',0.09,FALSE
103,Gruesome Scourger,Creature,Orc Warrior,Core Set 2020,Uncommon,5,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Karl Kopinski',0.06,FALSE
104,Knight of the Ebon Legion,Creature,Vampire Knight,Core Set 2020,Rare,1,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Alex Konstad',1.52,FALSE
105,Legion's End,Sorcery,None,Core Set 2020,Rare,2,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'David Palumbo',0.66,FALSE
106,Leyline of the Void,Enchantment,None,Core Set 2020,Rare,4,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Noah Bradley',7.46,FALSE
107,Mind Rot,Sorcery,None,Core Set 2020,Common,3,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Seb McKinnon',0.08,FALSE
108,Murder,Instant,None,Core Set 2020,Common,3,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Allen Williams',0.11,FALSE
109,Noxious Grasp,Instant,None,Core Set 2020,Uncommon,2,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Tomasz Jedruszek',0.16,FALSE
110,Rotting Regisaur,Creature,Zombie Dinosaur,Core Set 2020,Rare,3,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Randy Vargas',2.55,FALSE
111,Sanitarium Skeleton,Creature,Skeleton,Core Set 2020,Common,1,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Kev Walker',0.07,FALSE
112,Scheming Symmetry,Sorcery,None,Core Set 2020,Rare,1,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Seb McKinnon',2.9,FALSE
113,Sorcerer of the Fang,Creature,Human Wizard,Core Set 2020,Common,2,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Caio Monteiro',0.04,FALSE
114,Sorin Imperious Bloodlord,Planeswalker,Sorin,Core Set 2020,Mythic Rare,3,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Chase Stone',10.43,TRUE
115,Soul Salvage,Sorcery,None,Core Set 2020,Common,3,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Daarken',0.04,FALSE
116,Thought Distortion,Sorcery,None,Core Set 2020,Uncommon,6,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'David Palumbo',0.11,FALSE
117,Undead Servant,Creature,Zombie,Core Set 2020,Common,4,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'James Zapata',0.03,FALSE
118,Unholy Indenture,Enchantment,Aura,Core Set 2020,Common,3,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Seb McKinnon',0.07,FALSE
119,Vampire of the Dire Moon,Creature,Vampire,Core Set 2020,Uncommon,1,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Anna Podedworna',1.5,FALSE
120,Vengeful Warchief,Creature,Orc Warrior,Core Set 2020,Uncommon,5,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Karl Kopinski',0.06,FALSE
121,Vilis Broker of Blood,Creature,Demon,Core Set 2020,Rare,8,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Tyler Jacobson',1.54,TRUE
122,Yarok's Fenlurker,Creature,Horror,Core Set 2020,Uncommon,2,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Daarken',0.41,FALSE
123,Act of Treason,Sorcery,None,Core Set 2020,Common,3,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Eric Deschamps',0.06,FALSE
124,Cavalier of Flame,Creature,Elemental Knight,Core Set 2020,Mythic Rare,5,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Wesley Burt',5.87,FALSE
125,Chandra Acolyte of Flame,Planeswalker,Chandra,Core Set 2020,Rare,3,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Anna Steinbauer',0.99,TRUE
126,Chandra Awakened Inferno,Planeswalker,Chandra,Core Set 2020,Mythic Rare,6,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Chris Rahn',10.19,TRUE
127,Chandra Novice Pyromancer,Planeswalker,Chandra,Core Set 2020,Uncommon,4,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Anna Steinbauer',0.18,TRUE
128,Chandra's Embercat,Creature,Elemental Cat,Core Set 2020,Common,2,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Johan Grenier',0.09,FALSE
129,Chandra's Outrage,Instant,None,Core Set 2020,Common,4,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Christopher Moeller',0.06,FALSE
130,Chandra's Regulator,Artifact,None,Core Set 2020,Rare,2,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Eric Deschamps',0.26,TRUE
131,Chandra's Spitfire,Creature,Elemental,Core Set 2020,Uncommon,3,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Chris Rallis',0.18,FALSE
132,Daggersail Aeronaut,Creature,Goblin,Core Set 2020,Common,4,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Zoltan Boros',0.03,FALSE
133,Destructive Digger,Creature,Goblin,Core Set 2020,Common,3,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Zoltan Boros',0.04,FALSE
134,Dragon Mage,Creature,Dragon Wizard,Core Set 2020,Uncommon,7,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Matthew D. Wilson',0.12,FALSE
135,Drakuseth Maw of Flames,Creature,Dragon,Core Set 2020,Rare,7,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Grzegorz Rutkowski',1.22,TRUE
136,Ember Hauler,Creature,Goblin,Core Set 2020,Uncommon,2,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Steve Prescott',0.07,FALSE
137,Fire Elemental,Creature,Elemental,Core Set 2020,Common,5,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Joe Slucher',0.04,FALSE
138,Flame Sweep,Instant,None,Core Set 2020,Uncommon,3,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Viktor Titov',0.17,FALSE
139,Fry,Instant,None,Core Set 2020,Uncommon,2,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Tomasz Jedruszek',0.23,FALSE
140,Glint-Horn Buccaneer,Creature,Minotaur Pirate,Core Set 2020,Rare,3,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Zack Stella',0.93,FALSE
141,Goblin Bird-Grabber,Creature,Goblin,Core Set 2020,Common,2,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Anna Podedworna',0.04,FALSE
142,Goblin Ringleader,Creature,Goblin,Core Set 2020,Uncommon,4,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Gabor Szikszai',0.2,FALSE
143,Goblin Smuggler,Creature,Goblin Rogue,Core Set 2020,Common,3,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Dan Scott',0.07,FALSE
144,Infuriate,Instant,None,Core Set 2020,Common,1,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Caio Monteiro',0.08,FALSE
145,Keldon Raider,Creature,Human Warrior,Core Set 2020,Common,4,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Chris Seaman',0.03,FALSE
146,Lavakin Brawler,Creature,Elemental Warrior,Core Set 2020,Common,4,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Victor Adame Minguez',0.04,FALSE
147,Leyline of Combustion,Enchantment,None,Core Set 2020,Rare,4,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Noah Bradley',0.38,FALSE
148,Maniacal Rage,Enchantment,Aura,Core Set 2020,Common,2,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Heonhwa Choe',0.03,FALSE
149,Marauding Raptor,Creature,Dinosaur,Core Set 2020,Rare,2,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Bayard Wu',0.77,FALSE
150,Mask of Immolation,Artifact,Equipment,Core Set 2020,Uncommon,2,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Igor Kieryluk',0.07,FALSE
151,Pack Mastiff,Creature,Hound,Core Set 2020,Common,2,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Svetlin Velinov',0.03,FALSE
152,Rapacious Dragon,Creature,Dragon,Core Set 2020,Uncommon,5,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Johan Grenier',0.09,FALSE
153,Reckless Air Strike,Sorcery,None,Core Set 2020,Common,1,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Jakub Kasper',0.05,FALSE
154,Reduce to Ashes,Sorcery,None,Core Set 2020,Common,5,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Jason A. Engle',0.02,FALSE
155,Repeated Reverberation,Instant,None,Core Set 2020,Rare,4,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Izzy',0.44,FALSE
156,Ripscale Predator,Creature,Dinosaur,Core Set 2020,Common,6,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Volkan Ba\xc7\xb5a',0.04,FALSE
157,Scampering Scorcher,Creature,Elemental,Core Set 2020,Uncommon,4,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Zoltan Boros',0.14,FALSE
158,Scorch Spitter,Creature,Elemental Lizard,Core Set 2020,Common,1,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Johan Grenier',0.13,FALSE
159,Shock,Instant,None,Core Set 2020,Common,1,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Jason Rainville',0.09,FALSE
160,Tectonic Rift,Sorcery,None,Core Set 2020,Common,4,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'John Avon',0.04,FALSE
161,Thunderkin Awakener,Creature,Elemental Shaman,Core Set 2020,Rare,2,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Yongjae Choi',0.42,FALSE
162,Uncaged Fury,Instant,None,Core Set 2020,Uncommon,3,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Jason Kang',0.07,FALSE
163,Unchained Berserker,Creature,Human Berserker,Core Set 2020,Uncommon,2,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Bram Sels',0.14,FALSE
164,Barkhide Troll,Creature,Troll,Core Set 2020,Uncommon,2,Green,Legal,Legal,Legal,Legal,Legal,TRUE,b'Grzegorz Rutkowski',0.13,FALSE
165,Brightwood Tracker,Creature,Elf Scout,Core Set 2020,Common,4,Green,Legal,Legal,Legal,Legal,Legal,TRUE,b'Johannes Voss',0.04,FALSE
166,Cavalier of Thorns,Creature,Elemental Knight,Core Set 2020,Mythic Rare,5,Green,Legal,Legal,Legal,Legal,Legal,TRUE,b'Jehan Choo',4.83,FALSE
