id,names,supertypes,MAX(set_year),rarity,cmc,color,modern_legality,standard_legality,commander_legality,vintage_legality,legacy_legality,reprint,price,is_legendary,edhrec
65,Metropolis Sprite,Creature,2019,Common,2,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.04,FALSE,49
66,Moat Piranhas,Creature,2019,Common,2,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.04,FALSE,29
67,Mu Yanling Sky Dancer,Planeswalker,2019,Mythic Rare,3,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,2.19,TRUE,596
68,Negate,Instant,2019,Common,2,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.16,FALSE,42908
69,Octoprophet,Creature,2019,Common,4,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.04,FALSE,167
70,Portal of Sanctuary,Artifact,2019,Uncommon,3,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.07,FALSE,536
71,Renowned Weaponsmith,Creature,2019,Uncommon,2,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.09,FALSE,509
72,Sage's Row Denizen,Creature,2019,Common,3,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.04,FALSE,411
73,Scholar of the Ages,Creature,2019,Uncommon,7,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.11,FALSE,656
74,Sleep Paralysis,Enchantment,2019,Common,4,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.02,FALSE,124
75,Spectral Sailor,Creature,2019,Uncommon,1,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.28,FALSE,2051
76,Tale's End,Instant,2019,Rare,2,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.92,FALSE,3327
77,Unsummon,Instant,2019,Common,1,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.09,FALSE,2308
78,Warden of Evos Isle,Creature,2019,Uncommon,3,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.09,FALSE,1427
79,Winged Words,Sorcery,2019,Common,3,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.14,FALSE,1752
80,Yarok's Wavecrasher,Creature,2019,Uncommon,4,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.06,FALSE,141
81,Zephyr Charge,Enchantment,2019,Common,2,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.02,FALSE,76
82,Agonizing Syphon,Sorcery,2019,Common,4,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.05,FALSE,83
83,Audacious Thief,Creature,2019,Common,3,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.06,FALSE,193
84,Barony Vampire,Creature,2019,Common,3,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.06,FALSE,33
85,Bladebrand,Instant,2019,Common,2,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.05,FALSE,293
86,Blightbeetle,Creature,2019,Uncommon,2,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.12,FALSE,210
87,Blood Burglar,Creature,2019,Common,2,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.07,FALSE,108
88,Blood for Bones,Sorcery,2019,Uncommon,4,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.3,FALSE,2413
89,Bloodsoaked Altar,Artifact,2019,Uncommon,6,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.07,FALSE,486
90,Bloodthirsty Aerialist,Creature,2019,Uncommon,3,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.32,FALSE,1284
91,Bone Splinters,Sorcery,2019,Common,1,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.08,FALSE,1935
92,Boneclad Necromancer,Creature,2019,Common,5,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.04,FALSE,83
93,Cavalier of Night,Creature,2019,Mythic Rare,5,Black,Legal,Legal,Legal,Legal,Legal,TRUE,4.02,FALSE,2271
94,Disfigure,Instant,2019,Uncommon,1,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.1,FALSE,219
95,Dread Presence,Creature,2019,Rare,4,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.74,FALSE,3848
96,Duress,Sorcery,2019,Common,1,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.06,FALSE,3984
97,Embodiment of Agonies,Creature,2019,Rare,3,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.36,FALSE,963
98,Epicure of Blood,Creature,2019,Common,5,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.07,FALSE,1651
99,Fathom Fleet Cutthroat,Creature,2019,Common,4,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.05,FALSE,225
100,Feral Abomination,Creature,2019,Common,6,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.03,FALSE,73
101,Gorging Vulture,Creature,2019,Common,3,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.06,FALSE,389
102,Gravedigger,Creature,2019,Uncommon,4,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.09,FALSE,2668
103,Gruesome Scourger,Creature,2019,Uncommon,5,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.06,FALSE,77
104,Knight of the Ebon Legion,Creature,2019,Rare,1,Black,Legal,Legal,Legal,Legal,Legal,TRUE,1.52,FALSE,2181
105,Legion's End,Sorcery,2019,Rare,2,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.66,FALSE,56
106,Leyline of the Void,Enchantment,2019,Rare,4,Black,Legal,Legal,Legal,Legal,Legal,TRUE,7.46,FALSE,3682
107,Mind Rot,Sorcery,2019,Common,3,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.08,FALSE,478
108,Murder,Instant,2019,Common,3,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.11,FALSE,10813
109,Noxious Grasp,Instant,2019,Uncommon,2,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.16,FALSE,59
110,Rotting Regisaur,Creature,2019,Rare,3,Black,Legal,Legal,Legal,Legal,Legal,TRUE,2.55,FALSE,802
111,Sanitarium Skeleton,Creature,2019,Common,1,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.07,FALSE,997
112,Scheming Symmetry,Sorcery,2019,Rare,1,Black,Legal,Legal,Legal,Legal,Legal,TRUE,2.9,FALSE,6933
113,Sorcerer of the Fang,Creature,2019,Common,2,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.04,FALSE,12
114,Sorin Imperious Bloodlord,Planeswalker,2019,Mythic Rare,3,Black,Legal,Legal,Legal,Legal,Legal,TRUE,10.43,TRUE,980
115,Soul Salvage,Sorcery,2019,Common,3,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.04,FALSE,640
116,Thought Distortion,Sorcery,2019,Uncommon,6,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.11,FALSE,172
117,Undead Servant,Creature,2019,Common,4,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.03,FALSE,21
118,Unholy Indenture,Enchantment,2019,Common,3,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.07,FALSE,639
119,Vampire of the Dire Moon,Creature,2019,Uncommon,1,Black,Legal,Legal,Legal,Legal,Legal,TRUE,1.5,FALSE,1638
120,Vengeful Warchief,Creature,2019,Uncommon,5,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.06,FALSE,45
121,Vilis Broker of Blood,Creature,2019,Rare,8,Black,Legal,Legal,Legal,Legal,Legal,TRUE,1.54,TRUE,7307
122,Yarok's Fenlurker,Creature,2019,Uncommon,2,Black,Legal,Legal,Legal,Legal,Legal,TRUE,0.41,FALSE,616
123,Act of Treason,Sorcery,2019,Common,3,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.06,FALSE,2356
124,Cavalier of Flame,Creature,2019,Mythic Rare,5,Red,Legal,Legal,Legal,Legal,Legal,TRUE,5.87,FALSE,2477
125,Chandra Acolyte of Flame,Planeswalker,2019,Rare,3,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.99,TRUE,1948
126,Chandra Awakened Inferno,Planeswalker,2019,Mythic Rare,6,Red,Legal,Legal,Legal,Legal,Legal,TRUE,10.19,TRUE,2391
127,Chandra Novice Pyromancer,Planeswalker,2019,Uncommon,4,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.18,TRUE,797
128,Chandra's Embercat,Creature,2019,Common,2,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.09,FALSE,436
129,Chandra's Outrage,Instant,2019,Common,4,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.06,FALSE,350
130,Chandra's Regulator,Artifact,2019,Rare,2,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.26,TRUE,875
131,Chandra's Spitfire,Creature,2019,Uncommon,3,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.18,FALSE,672
132,Daggersail Aeronaut,Creature,2019,Common,4,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.03,FALSE,43
133,Destructive Digger,Creature,2019,Common,3,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.04,FALSE,61
134,Dragon Mage,Creature,2019,Uncommon,7,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.12,FALSE,5955
135,Drakuseth Maw of Flames,Creature,2019,Rare,7,Red,Legal,Legal,Legal,Legal,Legal,TRUE,1.22,TRUE,4631
136,Ember Hauler,Creature,2019,Uncommon,2,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.07,FALSE,337
137,Fire Elemental,Creature,2019,Common,5,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.04,FALSE,79
138,Flame Sweep,Instant,2019,Uncommon,3,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.17,FALSE,586
139,Fry,Instant,2019,Uncommon,2,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.23,FALSE,136
140,Glint-Horn Buccaneer,Creature,2019,Rare,3,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.93,FALSE,3236
141,Goblin Bird-Grabber,Creature,2019,Common,2,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.04,FALSE,19
142,Goblin Ringleader,Creature,2019,Uncommon,4,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.2,FALSE,2834
143,Goblin Smuggler,Creature,2019,Common,3,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.07,FALSE,116
144,Infuriate,Instant,2020,Common,1,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.08,FALSE,762
145,Keldon Raider,Creature,2019,Common,4,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.03,FALSE,82
146,Lavakin Brawler,Creature,2019,Common,4,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.04,FALSE,214
147,Leyline of Combustion,Enchantment,2019,Rare,4,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.38,FALSE,1122
148,Maniacal Rage,Enchantment,2019,Common,2,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.03,FALSE,90
149,Marauding Raptor,Creature,2019,Rare,2,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.77,FALSE,1627
150,Mask of Immolation,Artifact,2019,Uncommon,2,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.07,FALSE,264
151,Pack Mastiff,Creature,2019,Common,2,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.03,FALSE,8
152,Rapacious Dragon,Creature,2019,Uncommon,5,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.09,FALSE,898
153,Reckless Air Strike,Sorcery,2019,Common,1,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.05,FALSE,124
154,Reduce to Ashes,Sorcery,2019,Common,5,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.02,FALSE,68
155,Repeated Reverberation,Instant,2019,Rare,4,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.44,FALSE,2199
156,Ripscale Predator,Creature,2019,Common,6,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.04,FALSE,197
157,Scampering Scorcher,Creature,2019,Uncommon,4,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.14,FALSE,523
158,Scorch Spitter,Creature,2019,Common,1,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.13,FALSE,203
159,Shock,Instant,2019,Common,1,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.09,FALSE,2047
160,Tectonic Rift,Sorcery,2019,Common,4,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.04,FALSE,235
161,Thunderkin Awakener,Creature,2019,Rare,2,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.42,FALSE,402
162,Uncaged Fury,Instant,2019,Uncommon,3,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.07,FALSE,863
163,Unchained Berserker,Creature,2019,Uncommon,2,Red,Legal,Legal,Legal,Legal,Legal,TRUE,0.14,FALSE,23
164,Barkhide Troll,Creature,2019,Uncommon,2,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.13,FALSE,120
165,Brightwood Tracker,Creature,2019,Common,4,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.04,FALSE,55
166,Cavalier of Thorns,Creature,2019,Mythic Rare,5,Green,Legal,Legal,Legal,Legal,Legal,TRUE,4.83,FALSE,1310
167,Centaur Courser,Creature,2019,Common,3,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.01,FALSE,33
168,Elvish Reclaimer,Creature,2019,Rare,1,Green,Legal,Legal,Legal,Legal,Legal,TRUE,1.35,FALSE,3935
169,Feral Invocation,Enchantment,2019,Common,3,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.03,FALSE,136
170,Ferocious Pup,Creature,2019,Common,3,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.08,FALSE,349
171,Gargos Vicious Watcher,Creature,2019,Rare,6,Green,Legal,Legal,Legal,Legal,Legal,TRUE,1,TRUE,1676
172,Gift of Paradise,Enchantment,2019,Common,3,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.07,FALSE,2817
173,Greenwood Sentinel,Creature,2019,Common,2,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.03,FALSE,128
174,Growth Cycle,Instant,2019,Common,2,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.07,FALSE,17
175,Healer of the Glade,Creature,2019,Common,1,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.09,FALSE,157
176,Howling Giant,Creature,2019,Uncommon,7,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.08,FALSE,209
177,Leafkin Druid,Creature,2019,Common,2,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.13,FALSE,2261
178,Leyline of Abundance,Enchantment,2019,Rare,4,Green,Legal,Legal,Legal,Legal,Legal,TRUE,1.2,FALSE,1971
179,Loaming Shaman,Creature,2019,Uncommon,3,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.09,FALSE,1926
180,Mammoth Spider,Creature,2019,Common,5,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.05,FALSE,131
181,Might of the Masses,Instant,2019,Uncommon,1,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.08,FALSE,726
182,Natural End,Instant,2019,Common,3,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.05,FALSE,333
183,Netcaster Spider,Creature,2019,Common,3,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.03,FALSE,276
184,Nightpack Ambusher,Creature,2019,Rare,4,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.31,FALSE,704
185,Overcome,Sorcery,2019,Uncommon,5,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.04,FALSE,561
186,Overgrowth Elemental,Creature,2019,Uncommon,3,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.12,FALSE,651
187,Plummet,Instant,2020,Common,2,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.04,FALSE,637
188,Pulse of Murasa,Instant,2019,Uncommon,3,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.09,FALSE,1181
189,Rabid Bite,Sorcery,2019,Common,2,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.06,FALSE,1347
190,Season of Growth,Enchantment,2019,Uncommon,2,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.96,FALSE,2278
191,Sedge Scorpion,Creature,2019,Common,1,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.07,FALSE,331
192,Shared Summons,Instant,2019,Rare,5,Green,Legal,Legal,Legal,Legal,Legal,TRUE,1.48,FALSE,5367
193,Shifting Ceratops,Creature,2019,Rare,4,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.4,FALSE,1062
194,Silverback Shaman,Creature,2019,Common,5,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.06,FALSE,78
195,Thicket Crasher,Creature,2019,Common,4,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.05,FALSE,837
196,Thrashing Brontodon,Creature,2019,Uncommon,3,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.07,FALSE,5817
197,Veil of Summer,Instant,2019,Uncommon,1,Green,Legal,Banned,Legal,Legal,Legal,TRUE,7.93,FALSE,9570
198,Vivien Arkbow Ranger,Planeswalker,2019,Mythic Rare,4,Green,Legal,Legal,Legal,Legal,Legal,TRUE,6.47,TRUE,713
199,Voracious Hydra,Creature,2019,Rare,3,Green,Legal,Legal,Legal,Legal,Legal,TRUE,4.95,FALSE,3342
200,Vorstclaw,Creature,2019,Common,6,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.03,FALSE,116
201,Wakeroot Elemental,Creature,2019,Rare,6,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.19,FALSE,255
202,Wolfkin Bond,Enchantment,2019,Common,5,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.04,FALSE,221
203,Wolfrider's Saddle,Artifact,2019,Uncommon,4,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.09,FALSE,195
204,Woodland Champion,Creature,2019,Uncommon,2,Green,Legal,Legal,Legal,Legal,Legal,TRUE,0.12,FALSE,525
205,Corpse Knight,Creature,2019,Uncommon,2,Gold,Legal,Legal,Legal,Legal,Legal,TRUE,0.23,FALSE,3873
206,Creeping Trailblazer,Creature,2019,Uncommon,2,Gold,Legal,Legal,Legal,Legal,Legal,TRUE,0.16,FALSE,957
207,Empyrean Eagle,Creature,2019,Uncommon,3,Gold,Legal,Legal,Legal,Legal,Legal,TRUE,0.4,FALSE,1562
208,Ironroot Warlord,Creature,2019,Uncommon,3,Gold,Legal,Legal,Legal,Legal,Legal,TRUE,0.09,FALSE,252
209,Kaalia Zenith Seeker,Creature,2019,Mythic Rare,3,Gold,Legal,Legal,Legal,Legal,Legal,TRUE,1.43,TRUE,614
210,Kethis the Hidden Hand,Creature,2019,Mythic Rare,3,Gold,Legal,Legal,Legal,Legal,Legal,TRUE,2.1,TRUE,983
211,Kykar Wind's Fury,Creature,2019,Mythic Rare,4,Gold,Legal,Legal,Legal,Legal,Legal,TRUE,2.53,TRUE,1652
212,Lightning Stormkin,Creature,2019,Uncommon,2,Gold,Legal,Legal,Legal,Legal,Legal,TRUE,0.1,FALSE,247
213,Moldervine Reclamation,Enchantment,2019,Uncommon,5,Gold,Legal,Legal,Legal,Legal,Legal,TRUE,0.19,FALSE,5043
